source_group,body_part_sensory,target_type,dim_category,super_class,median_influence,adjusted_influence
"humid, Ir68a [antenna]",antenna,INXXX391,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,6.566284809583113e-5,14.369022729589874
"humid, Ir68a [antenna]",antenna,INXXX392,other-dimorphic,ventral_nerve_cord_intrinsic,3.4483182207695065e-4,16.027546267973143
"humid, Ir68a [antenna]",antenna,INXXX393,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,2.580128526570819e-4,15.73749884221686
"humid, Ir68a [antenna]",antenna,INXXX394,other-dimorphic,ventral_nerve_cord_intrinsic,5.430910484505182e-5,14.179181331623901
"humid, Ir68a [antenna]",antenna,INXXX395,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,3.760257990102759e-5,13.811562104466747
"humid, Ir68a [antenna]",antenna,INXXX396,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,3.9765313637984836e-5,13.867484457701154
"humid, Ir68a [antenna]",antenna,INXXX399,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,9.978810219276433e-5,14.787538401740925
"humid, Ir68a [antenna]",antenna,INXXX400,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,3.068130400140368e-5,13.608142920936746
"humid, Ir68a [antenna]",antenna,INXXX401,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.433163333785403e-5,13.976187935091462
"humid, Ir68a [antenna]",antenna,INXXX402,cross-mapped dimorphic,motor,4.6490106599209545e-5,14.023728970684816
"humid, Ir68a [antenna]",antenna,INXXX405,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,7.093215239555091e-5,14.446213262137555
"humid, Ir68a [antenna]",antenna,INXXX406,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,7.516769018507915e-5,14.504210928870581
"humid, Ir68a [antenna]",antenna,INXXX407,other-dimorphic,ventral_nerve_cord_intrinsic,4.0688710069514676e-5,13.890440102134061
"humid, Ir68a [antenna]",antenna,INXXX409,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,5.3522307979850004e-5,14.164587980615174
"humid, Ir68a [antenna]",antenna,INXXX411,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,2.6273100893592503e-5,13.453035078112054
"humid, Ir68a [antenna]",antenna,INXXX412,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.4873507665539776e-5,13.98833703292718
"humid, Ir68a [antenna]",antenna,INXXX416,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.140629834235554e-5,13.907922445169133
"humid, Ir68a [antenna]",antenna,INXXX418,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,6.419032869345336e-5,14.34634199797963
"humid, Ir68a [antenna]",antenna,INXXX420,specific,ventral_nerve_cord_intrinsic,6.0524423350458685e-5,14.287536417354051
"humid, Ir68a [antenna]",antenna,INXXX421,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,5.5164667263156684e-5,14.194812104564015
"humid, Ir68a [antenna]",antenna,INXXX423,specific,ventral_nerve_cord_intrinsic,1.230150911920322e-4,14.996796482500168
"humid, Ir68a [antenna]",antenna,INXXX424,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,1.5220962247576937e-5,12.907163015044846
"humid, Ir68a [antenna]",antenna,INXXX425,specific,ventral_nerve_cord_intrinsic,4.6908056350864505e-5,14.03267887993988
"humid, Ir68a [antenna]",antenna,INXXX426,cross-mapped dimorphic,ventral_nerve_cord_intrinsic,4.467695085452381e-5,13.9839471698284
