MANC ID,DimScore
27990,2.290193331656152
17234,2.289315912082647
19266,2.288129101174182
14581,2.2880383731080185
20358,2.2880310586859176
24682,2.287492702496632
22149,2.2869308351344704
13575,2.2862378382963278
40338,2.2857615571655945
20254,2.2839634038595036
20093,2.283786873609875
24891,2.2836338861835497
11078,2.2833132505868643
12691,2.282391541524675
14329,2.28227836228393
23773,2.2821910502378087
13020,2.281902589501111
19096,2.279657707882088
24722,2.2794624578791134
14266,2.27935206928902
33673,2.2792016451693082
17639,2.279111036763667
25427,2.2789136432250108
28329,2.278091575117525
23656,2.277230860517612
28177,2.276999475526846
30919,2.2767805709366566
21036,2.2746480927904744
31742,2.27375181304724
13649,2.2735374990528125
13625,2.2724240394093993
12648,2.271257310955713
11549,2.27008320784448
18982,2.269695712345362
24712,2.269285013694078
18438,2.268782277482413
13135,2.2683935365548913
25164,2.267430871501474
102333,2.2670600696686063
21235,2.2667467313351146
17014,2.266249748306136
14830,2.266054296064134
37852,2.2660457286843814
25633,2.2653879472414005
20871,2.264953732739044
19831,2.2644870396936048
14592,2.264466184456567
26894,2.264363309700741
12949,2.2640864982052196
22864,2.2639039396142953
13159,2.263662890274444
57631,2.2635748265811415
18815,2.2622192644063257
41301,2.26023263270477
101470,2.2601317626215827
14057,2.2598910270237504
18782,2.259618356449448
19567,2.258988674657073
14774,2.2588778631896593
153864,2.258071104527283
10395,2.2577448820024317
14148,2.257734404379276
166323,2.2574870085988783
34822,2.256615854139104
18670,2.25627858472774
13128,2.2562098049762715
15084,2.2545452809941557
34144,2.2534248200048133
27633,2.253361841292068
35897,2.2533105947395184
20270,2.2529825329494817
41239,2.252791861712748
20762,2.252758067606342
16567,2.2527439310969997
22326,2.252626957720609
24985,2.2525851394714924
27180,2.2525354510892264
18396,2.250738754329099
34090,2.250354377963699
19299,2.2501772078779876
31157,2.2488884772332547
15026,2.2488859678723427
44201,2.2486359662623907
31334,2.24824249698267
15067,2.2482335270690275
13602,2.2481229917933745
22501,2.2472636901374865
15148,2.245927349108776
14675,2.2457117359499574
14467,2.245092184777764
31635,2.2438985145802137
17452,2.243498702033228
14133,2.2434804999025704
31588,2.2429730385020887
18401,2.2427320713211283
24067,2.241133716615128
42075,2.240906223199584
42819,2.2405003076335275
17551,2.2402933280517985
18125,2.2397370391568217
10530,2.239514754778193
27194,2.2391034874617186
