Cell Type,Category,Reference,Eval
INXXX096,Male Specific,New,
INXXX107,Male Specific,New,
INXXX110,Male Specific,New,
INXXX111,Male Specific,New,
INXXX121,Dimorphic,New,internally_consistent
INXXX122,Male Specific,New,
INXXX126,Male Specific,New,
INXXX129,Dimorphic,New,internally_consistent
INXXX137,Xxx Specific,New,
INXXX149,Dimorphic,New,needs_detailed_examination
INXXX159,Dimorphic,New,internally_consistent
INXXX161,Dimorphic,New,needs_minor_rectification
INXXX179,Dimorphic,New,internally_consistent
INXXX180,Dimorphic,New,internally_consistent
INXXX181,Dimorphic,New,needs_minor_rectification
INXXX188,Dimorphic,New,needs_minor_rectification
INXXX192,Dimorphic,New,internally_consistent
INXXX197,Dimorphic,New,needs_detailed_examination
INXXX209,Dimorphic,New,type_assembly_errors
INXXX211,Dimorphic,New,needs_detailed_examination
INXXX215,Male Specific,New,
INXXX217,Dimorphic,New,needs_detailed_examination
INXXX220,Male Specific,New,
INXXX225,Dimorphic,New,type_assembly_errors
INXXX228,Dimorphic,New,needs_detailed_examination
INXXX237,Male Specific,New,
INXXX240,Dimorphic,New,needs_detailed_examination
INXXX242,Male Specific,New,
INXXX243,Dimorphic,New,needs_detailed_examination
INXXX244,Dimorphic,New,needs_detailed_examination
INXXX246,Male Specific,New,
INXXX251,Male Specific,New,
INXXX258,Dimorphic,New,needs_detailed_examination
INXXX260,Male Specific,New,
INXXX262,Male Specific,New,
INXXX263,Male Specific,New,
INXXX265,Dimorphic,New,needs_detailed_examination
INXXX266,Dimorphic,New,internally_consistent
INXXX267,Dimorphic,New,needs_detailed_examination
INXXX271,Dimorphic,New,needs_minor_rectification
INXXX273,Dimorphic,New,needs_detailed_examination
INXXX275,Male Specific,New,
INXXX279,Dimorphic,New,needs_detailed_examination
INXXX282,Male Specific,New,
INXXX283,Dimorphic,New,needs_detailed_examination
INXXX285,Dimorphic,New,needs_detailed_examination
INXXX290,Dimorphic,New,internally_consistent
INXXX293,Male Specific,New,
INXXX297,Dimorphic,New,needs_minor_rectification
INXXX302,Dimorphic,New,needs_detailed_examination
INXXX303,Dimorphic,New,needs_detailed_examination
INXXX306,Dimorphic,New,needs_detailed_examination
INXXX307,Dimorphic,New,type_assembly_errors
INXXX309,Dimorphic,New,type_assembly_errors
INXXX310,Male Specific,New,
INXXX317,Male Specific,New,
INXXX320,Male Specific,New,
INXXX322,Male Specific,New,
INXXX324,Male Specific,New,
INXXX325,Dimorphic,New,type_assembly_errors
INXXX326,Dimorphic,New,type_assembly_errors
INXXX333,Dimorphic,New,type_assembly_errors
INXXX334,Male Specific,New,
INXXX340,Dimorphic,New,internally_consistent
INXXX346,Dimorphic,New,type_assembly_errors
INXXX348,Dimorphic,New,needs_detailed_examination
INXXX350,Dimorphic,New,needs_detailed_examination
INXXX352,Dimorphic,New,needs_detailed_examination
INXXX353,Dimorphic,New,needs_detailed_examination
INXXX354,Male Specific,New,
INXXX357,Dimorphic,New,needs_minor_rectification
INXXX360,Dimorphic,New,type_assembly_errors
INXXX366,Male Specific,New,
INXXX369,Dimorphic,New,needs_minor_rectification
INXXX370,Dimorphic,New,needs_detailed_examination
INXXX372,Male Specific,New,
INXXX374,Male Specific,New,
INXXX377,Dimorphic,New,internally_consistent
